module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
wds,anytime,Initialize WDS Project,WI,,_bmad/wds/workflows/workflow-init/workflow.yaml,bmad-wds-workflow-init,true,mimir,Create Mode,"Initialize WDS project configuration and select design methodology path",docs,"project config",
wds,anytime,Project Analysis,PA,,_bmad/wds/workflows/project-analysis/workflow.yaml,bmad-wds-project-analysis,false,saga,Create Mode,"Analyze existing project to understand design needs and current state",docs,"analysis report",
wds,1-discovery,Product Exploration,PE,10,_bmad/wds/workflows/1-product-brief/workflow.yaml,bmad-wds-product-brief,true,saga,Create Mode,"Define vision positioning and success criteria for your product",docs/A-Product-Brief,"product brief",
wds,2-research,User Research,UR,20,_bmad/wds/workflows/2-trigger-mapping/workflow.yaml,bmad-wds-trigger-mapping,true,saga,Create Mode,"Connect business goals to user psychology and triggers",docs/B-Trigger-Map,"trigger map",
wds,3-requirements,Platform Requirements,PR,30,_bmad/wds/workflows/3-prd-platform/workflow.yaml,bmad-wds-prd-platform,false,idunn,Create Mode,"Technical requirements for complex products (optional)",docs/D-PRD,"platform prd",
wds,4-ux,UX Design,UX,40,_bmad/wds/workflows/4-ux-design/workflow.yaml,bmad-wds-ux-design,true,freya,Create Mode,"Define HOW it works - functionality interactions and content structure",docs/C-Scenarios,"ux scenarios",
wds,5-visual,Design System,DS,50,_bmad/wds/workflows/5-design-system/workflow.yaml,bmad-wds-design-system,false,freya,Create Mode,"Define HOW it looks - brand expression visual language and design tokens (can start anytime)",docs/D-Design-System,"design system",
wds,6-handoff,Design Deliveries,DD,60,_bmad/wds/workflows/6-design-deliveries/workflow.yaml,bmad-wds-design-deliveries,false,freya,Create Mode,"Create design delivery specifications and test scenarios for development handoff",docs/E-UI-Roadmap,"design deliveries",
wds,anytime,Saga Analyst,SA,,_bmad/wds/agents/saga-analyst.agent.yaml,,false,saga,,"Strategic business analyst for product discovery and analysis. Creates Product Brief and Trigger Map.",docs,"strategic docs",
wds,anytime,Idunn PM,IP,,_bmad/wds/agents/idunn-pm.agent.yaml,,false,idunn,,"Product manager for requirements and planning. Handles Platform Requirements and handoff coordination.",docs/D-PRD,"requirements docs",
wds,anytime,Freya Designer,FD,,_bmad/wds/agents/freya-ux.agent.yaml,,false,freya,,"UX/UI designer for creating user experiences and visual designs. Handles UX Design Design System and Deliveries.",docs,"design specs",
wds,anytime,Mimir Orchestrator,MO,,_bmad/wds/agents/mimir-orchestrator.agent.yaml,,false,mimir,,"Teaching orchestrator who guides you through WDS methodology and workflow selection.",docs,"learning guidance",
wds,paths,Quick Prototype Path,QP,,_bmad/wds/workflows/paths/quick-prototype.yaml,bmad-wds-quick-prototype,false,mimir,,"Rapid iteration path for quick prototyping and validation",docs,"prototype",
wds,paths,Full Product Path,FP,,_bmad/wds/workflows/paths/full-product.yaml,bmad-wds-full-product,false,mimir,,"Complete design process for new products (all phases)",docs,"full product design",
wds,paths,Design System Only,DSO,,_bmad/wds/workflows/paths/design-system-only.yaml,bmad-wds-design-system-only,false,mimir,,"Focus on brand identity and design system without product work",docs/D-Design-System,"design system",
wds,paths,Digital Strategy,DST,,_bmad/wds/workflows/paths/digital-strategy.yaml,bmad-wds-digital-strategy,false,mimir,,"Discovery and strategy focus without full implementation",docs,"strategy docs",
wds,paths,Feature Enhancement,FE,,_bmad/wds/workflows/paths/feature-enhancement.yaml,bmad-wds-feature-enhancement,false,mimir,,"Design updates for existing products",docs,"feature design",
